route_short_name,route_desc
E-1,METRO STADION NARODOWY - SOKOLA - WAŁ MIEDZESZYŃSKI - SASKA - BORA-KOMOROWSKIEGO - GOCŁAW|GOCŁAW - EGIPSKA - SASKA - ZWYCIĘZCÓW - SOKOLA - METRO STADION NARODOWY
E-2,PL. BANKOWY - PL. BANKOWY - KRAKOWSKIE PRZEDMIEŚCIE - NOWY ŚWIAT - AL. UJAZDOWSKIE - SOBIESKIEGO - AL. WILANOWSKA - PRZYCZÓŁKOWA - WILANÓW|WILANÓW - AL. WILANOWSKA - SOBIESKIEGO - BELWEDERSKA - AL. UJAZDOWSKIE - PL. TRZECH KRZYŻY - NOWY ŚWIAT - KRAKOWSKIE PRZEDMIEŚCIE - PL. BANKOWY - PL. BANKOWY
401,URSYNÓW PŁD. - AL. KEN - CISZEWSKIEGO - NOWOURSYNOWSKA - WAŁBRZYSKA - AL. LOTNIKÓW - MARYNARSKA - HYNKA - ŁOPUSZAŃSKA - KLESZCZOWA - RYŻOWA - DZIECI WARSZAWY - SŁAWKA - BOHATERÓW WARSZAWY - WŁADYSŁAWA JAGIEŁŁY - WARSZAWSKA - KENIGA - ORLĄT LWOWSKICH - URSUS-NIEDŹWIADEK|METRO SŁUŻEW - WAŁBRZYSKA - AL. LOTNIKÓW - MARYNARSKA - HYNKA - ŁOPUSZAŃSKA - KLESZCZOWA - RYŻOWA - DZIECI WARSZAWY - SŁAWKA - BOHATERÓW WARSZAWY - REGULSKA - PKP URSUS|METRO SŁUŻEW - WAŁBRZYSKA - AL. LOTNIKÓW - MARYNARSKA - HYNKA - ŁOPUSZAŃSKA - RÓWNOLEGŁA - WKD RAKÓW|URSUS-NIEDŹWIADEK - ORLĄT LWOWSKICH - KENIGA - WARSZAWSKA - LALKI - KOŚCIUSZKI - BOHATERÓW WARSZAWY - SŁAWKA - DZIECI WARSZAWY - RYŻOWA - KLESZCZOWA - ŁOPUSZAŃSKA - HYNKA - SASANKI - MARYNARSKA - AL. WILANOWSKA - AL. LOTNIKÓW - WAŁBRZYSKA - NOWOURSYNOWSKA - DOLINA SŁUŻEWIECKA - NOWOURSYNOWSKA - CISZEWSKIEGO - AL. KEN - URSYNÓW PŁD.|URSUS-NIEDŹWIADEK - ORLĄT LWOWSKICH - KENIGA - WARSZAWSKA - LALKI - KOŚCIUSZKI - BOHATERÓW WARSZAWY - SŁAWKA - DZIECI WARSZAWY - RYŻOWA - KLESZCZOWA - ŁOPUSZAŃSKA - HYNKA - SASANKI - MARYNARSKA - AL. WILANOWSKA - AL. LOTNIKÓW - WAŁBRZYSKA - NOWOURSYNOWSKA - DOLINA SŁUŻEWIECKA - NOWOURSYNOWSKA - CISZEWSKIEGO - AL. KEN - METRO STOKŁOSY|PKP URSUS - REGULSKA - KOŚCIUSZKI - BOHATERÓW WARSZAWY - SŁAWKA - DZIECI WARSZAWY - RYŻOWA - KLESZCZOWA - ŁOPUSZAŃSKA - HYNKA - SASANKI - MARYNARSKA - AL. WILANOWSKA - AL. LOTNIKÓW - WAŁBRZYSKA - AL. HARCERZY RZECZYPOSPOLITEJ - METRO SŁUŻEW|WKD RAKÓW - RÓWNOLEGŁA - ŁOPUSZAŃSKA - HYNKA - SASANKI - MARYNARSKA - AL. WILANOWSKA - AL. LOTNIKÓW - WAŁBRZYSKA - AL. HARCERZY RZECZYPOSPOLITEJ - METRO SŁUŻEW
402,WYNALAZEK - WYNALAZEK - MARYNARSKA - AL. WILANOWSKA - AL. LOTNIKÓW - WAŁBRZYSKA - NOWOURSYNOWSKA - DOLINA SŁUŻEWIECKA - AL. SIKORSKIEGO - AL. WITOSA - AL. BECKA - AL. WIENIAWY-DŁUGOSZOWSKIEGO - MARSA - OKULAROWA - STEPOWA - KORKOWA - MARYSIN|MARYSIN - STEPOWA - MARSA - OSTROBRAMSKA - AL. WIENIAWY-DŁUGOSZOWSKIEGO - AL. BECKA - AL. WITOSA - AL. SIKORSKIEGO - DOLINA SŁUŻEWIECKA - NOWOURSYNOWSKA - WAŁBRZYSKA - AL. LOTNIKÓW - MARYNARSKA - SASANKI - CYBERNETYKI - WYNALAZEK - WYNALAZEK
411,METRO POLITECHNIKA - WARYŃSKIEGO - PL. KONSTYTUCJI - WARYŃSKIEGO - AL. ARMII LUDOWEJ - SASKA - BORA-KOMOROWSKIEGO - AL. WIENIAWY-DŁUGOSZOWSKIEGO - PŁOWIECKA - CZECHA - TRAKT BRZESKI - JANA PAWŁA II - GRANICZNA - STARA MIŁOSNA (GRANICZNA)|STARA MIŁOSNA (GRANICZNA) - JANA PAWŁA II - TRAKT BRZESKI - CZECHA - PŁOWIECKA - BORA-KOMOROWSKIEGO - EGIPSKA - AL. STANÓW ZJEDNOCZONYCH - AL. ARMII LUDOWEJ - WARYŃSKIEGO - METRO POLITECHNIKA
414,INSTALATORÓW - INSTALATORÓW - GRÓJECKA - BITWY WARSZAWSKIEJ 1920 R. - AL. PRYMASA TYSIĄCLECIA - AL. ARMII KRAJOWEJ - TORUŃSKA - WYSOCKIEGO - BARTNICZA - WYSZOGRODZKA - CHODECKA - KRASNOBRODZKA - BRÓDNO-PODGRODZIE|BRÓDNO-PODGRODZIE - CHODECKA - WYSZOGRODZKA - BARTNICZA - WYSOCKIEGO - TORUŃSKA - AL. ARMII KRAJOWEJ - AL. PRYMASA TYSIĄCLECIA - BITWY WARSZAWSKIEJ 1920 R. - GRÓJECKA - INSTALATORÓW - INSTALATORÓW
500,RONDO „RADOSŁAWA” - DZIKA - SŁOMIŃSKIEGO - STARZYŃSKIEGO - ŚW. WINCENTEGO - KONDRATOWICZA - CHODECKA - KRASNOBRODZKA - BRÓDNO-PODGRODZIE|BRÓDNO-PODGRODZIE - CHODECKA - KONDRATOWICZA - ŚW. WINCENTEGO - STARZYŃSKIEGO - SŁOMIŃSKIEGO - DZIKA - RONDO „RADOSŁAWA”
502,METRO POLITECHNIKA - WARYŃSKIEGO - PL. KONSTYTUCJI - WARYŃSKIEGO - AL. ARMII LUDOWEJ - AL. STANÓW ZJEDNOCZONYCH - OSTROBRAMSKA - PŁOWIECKA - CZECHA - TRAKT BRZESKI - JANA PAWŁA II - GRANICZNA - STARA MIŁOSNA (GRANICZNA)|STARA MIŁOSNA (GRANICZNA) - JANA PAWŁA II - TRAKT BRZESKI - CZECHA - PŁOWIECKA - OSTROBRAMSKA - AL. STANÓW ZJEDNOCZONYCH - AL. ARMII LUDOWEJ - WARYŃSKIEGO - METRO POLITECHNIKA
503,KONWIKTORSKA - KONWIKTORSKA - BONIFRATERSKA - PL. KRASIŃSKICH - KRAKOWSKIE PRZEDMIEŚCIE - NOWY ŚWIAT - AL. UJAZDOWSKIE - BELWEDERSKA - SOBIESKIEGO - AL. SIKORSKIEGO - DOLINA SŁUŻEWIECKA - AL. RODOWICZA „ANODY” - ROSOŁA - INDIRY GANDHI - DERENIOWA - PŁASKOWICKIEJ - NATOLIN PŁN.|NATOLIN PŁN. - DERENIOWA - INDIRY GANDHI - ROSOŁA - AL. RODOWICZA „ANODY” - DOLINA SŁUŻEWIECKA - AL. SIKORSKIEGO - BELWEDERSKA - AL. UJAZDOWSKIE - PL. TRZECH KRZYŻY - NOWY ŚWIAT - KRAKOWSKIE PRZEDMIEŚCIE - PL. KRASIŃSKICH - BONIFRATERSKA - SŁOMIŃSKIEGO - KONWIKTORSKA - KONWIKTORSKA
504,OS. KABATY - AL. KEN - WĄWOZOWA - STRYJEŃSKICH - DERENIOWA - PILECKIEGO - PUŁAWSKA - RZYMOWSKIEGO - MARYNARSKA - ŻWIRKI I WIGURY - KRZYWICKIEGO - AL. JEROZOLIMSKIE - JEZDNIA PŁN. DW. CENTRALNEGO - DW. CENTRALNY|DW. CENTRALNY - AL. JEROZOLIMSKIE - RASZYŃSKA - ŻWIRKI I WIGURY - SASANKI - MARYNARSKA - RZYMOWSKIEGO - PILECKIEGO - CISZEWSKIEGO - DERENIOWA - STRYJEŃSKICH - WĄWOZOWA - AL. KEN - OS. KABATY
