stop_id,stop_code,stop_name,stop_lat,stop_lon
3,03,INSTALATORÓW,52.20054,20.94777
9,05,HYNKA,52.18973589,20.95895588
12,06,PKP RAKOWIEC,52.19722463,20.96302732
13,05,PKP RAKOWIEC,52.19715413,20.96303153
14,02,INSTALATORÓW-KAM,52.19841315,20.95761317
17,05,KRAKOWIAKÓW,52.18558498,20.95500957
28,01,ŁOPUSZAŃSKA,52.19666064,20.92996314
34,02,RYŻOWA,52.20019671,20.91452682
36,01,PŁUŻAŃSKA,52.2071032,20.92495994
46,04,DZIECI WARSZAWY,52.19256889,20.90710602
50,01,SPISAKA,52.18939352,20.88460812
51,01,KUŹNICY KOŁŁĄTAJOWSKIEJ,52.1889254,20.877188
56,02,DOJAZDOWA,52.19865639,20.91837242
63,01,PKP WŁOCHY,52.20526058,20.91564873
70,01,PAROWCOWA,52.21179183,20.91364036
73,01,WOJCIECHOWSKIEGO,52.19592669,20.87966181
75,01,PKP URSUS,52.19661648,20.88515549
84,03,ŁOPUSZAŃSKA,52.19543532,20.92971112
91,02,LEŻAJSKA,52.18885178,20.98085873
92,04,SASANKI,52.18405754,20.97772521
94,01,SASANKI,52.18267365,20.97830913
101,01,NIEMCEWICZA,52.22126563,20.98393235
106,01,LINDLEYA,52.22340977,20.9965087
108,04,SZCZĘŚLIWICKA,52.214961,20.96954081
111,03,SZCZĘŚLIWICKA,52.21284381,20.96735658
112,01,WAWELSKA,52.21684561,20.9818855
113,06,WAWELSKA,52.21687216,20.97986862
114,05,WAWELSKA,52.21595992,20.98282098
115,02,AL. WIELKOPOLSKI,52.21687592,20.99629178
116,01,AL. WIELKOPOLSKI,52.21651368,20.99542679
122,01,SZYSZKOWA,52.17196735,20.93959879
123,02,SZYSZKOWA,52.17081771,20.93782003
132,01,INSTYTUT LOTNICTWA,52.17872383,20.94692975
151,02,RASZYŃSKA,52.21980572,20.98985773
152,03,POMNIK LOTNIKA,52.21627,20.99134
157,02,BALEYA,52.19599585,20.98327803
160,03,RAKOWIEC,52.19819767,20.9848133
167,01,POMNIK LOTNIKA,52.2155618,20.98813713
170,01,RASZYŃSKA,52.21986067,20.98936433
171,02,SPISKA,52.22344875,20.98337432
179,06,DW. ZACHODNI,52.21826862,20.9650013
180,04,RONDO ZESŁAŃCÓW SYBERYJSKICH,52.21598104,20.96288118
187,01,PL. STARYNKIEWICZA,52.226023,20.994585
1,01,WŁOCHY-RATUSZ,52.19360306,20.96142475
4,01,INSTALATORÓW-KAM,52.19813945,20.95863154
10,06,HYNKA,52.19060767,20.9573153
16,02,KRAKOWIAKÓW,52.18529619,20.95346819
20,01,LEŻAJSKA,52.18854197,20.98022366
22,02,KOMITETU OBRONY ROBOTNIKÓW,52.18065705,20.97821654
23,01,OŚRODEK WOJSKOWY,52.17477265,20.97916597
25,02,ORZECHOWA,52.19214657,20.94900688
29,01,POPULARNA,52.20161394,20.93715912
33,01,DOJAZDOWA,52.19816211,20.92000965
39,04,WAŁOWICKA,52.20958385,20.91397492
41,01,WAGONOWNIA,52.21457503,20.93034492
44,01,PRZEPIÓRKI,52.20309467,20.90468487
45,01,URSUS-RATUSZ,52.20167518,20.89616974
52,01,PRAŻMOWSKA,52.19292115,20.87920216
55,04,RYŻOWA,52.19912216,20.91353312
61,02,RYBNICKA,52.20743,20.90585
64,03,PKP WŁOCHY,52.20719363,20.91601406
74,02,PKP URSUS,52.19745741,20.88740405
81,02,PŁUŻAŃSKA,52.20812062,20.92484341
97,01,KOMITETU OBRONY ROBOTNIKÓW,52.17899499,20.97816461
98,02,OŚRODEK WOJSKOWY,52.1752446,20.97948935
104,01,DRZEWIECKIEGO,52.18143801,20.97390918
117,01,BITWY WARSZAWSKIEJ 1920 R.,52.21152136,20.97726684
118,01,DICKENSA,52.2059551,20.97242354
119,02,KOROTYŃSKIEGO,52.20313407,20.96934638
137,02,BITWY WARSZAWSKIEJ 1920 R.,52.21048616,20.97571694
139,01,OCH-TEATR,52.21472335,20.97995995
155,02,PRUSZKOWSKA,52.20160175,20.98522743
156,02,RAKOWIEC,52.19899053,20.98434102
172,02,BIAŁOBRZESKA,52.22172447,20.97717785
176,02,DW. ZACHODNI,52.21805584,20.96585102
181,03,RONDO ZESŁAŃCÓW SYBERYJSKICH,52.21570053,20.96222192
185,02,ŚMIGŁOWCA,52.20961255,20.94835011
186,06,PL. STARYNKIEWICZA,52.22754662,20.99528437
188,02,PL. STARYNKIEWICZA,52.2261043,20.99358986
191,01,BANACHA,52.20991064,20.98039814
192,07,BANACHA,52.21039474,20.98447177
194,01,JASIELSKA,52.1983188,20.97940428
195,02,MOŁDAWSKA,52.20026916,20.97863724
197,02,WIŚLICKA,52.20489842,20.97625444
198,01,MOŁDAWSKA,52.20185444,20.97927933
5,02,RADAROWA,52.18876246,20.9629588
6,01,RADAROWA,52.18811646,20.96407703
7,01,HYNKA,52.19066453,20.95890758
8,02,HYNKA,52.18970814,20.957438
11,01,PKP RAKOWIEC,52.19799299,20.96546406
18,01,ASTRONAUTÓW,52.18456096,20.97496976
19,02,SASANKI,52.18407648,20.97922264
21,02,NOVOTEL,52.19092304,20.98156446
27,01,WKD RAKÓW,52.19435032,20.93608559
37,02,PKP WŁOCHY,52.20517192,20.91613755
43,01,SZUBERTA,52.20824864,20.90053901
48,02,PL. TYSIĄCLECIA,52.19328364,20.8923431
53,01,MALINOWA,52.19373358,20.88354062
54,03,RYŻOWA,52.19956384,20.91484945
57,01,ZAJEZDNIA KLESZCZOWA,52.19652214,20.92487554
58,02,URSUS-RATUSZ,52.20088871,20.89615653
60,02,SZUBERTA,52.20837616,20.89991763
66,05,PKP WŁOCHY,52.20615534,20.91275163
67,03,WAŁOWICKA,52.20989769,20.9146836
68,01,WAŁOWICKA,52.20874383,20.91392462
69,02,WAŁOWICKA,52.20860324,20.91427371
71,01,BEŁZY,52.19526228,20.87436022
72,02,BEŁZY,52.19514152,20.87293458
79,01,SYMPATYCZNA,52.20958205,20.92046344
80,02,SYMPATYCZNA,52.20972046,20.92013207
82,01,TECHNIKÓW,52.2043273,20.92338981
83,03,MIKOŁAJSKA,52.20344425,20.92609436
89,02,PRZEDPOLE,52.19344942,20.94208532
